name,number,image,type.0,type.1,type.2,hp,attack,defense,sp_atk,sp_def,speed,heightM,weightKG,evo_from,evo_to.0,evo_to.1,evo_to.2,evo_to.3,evo_to.4,evo_to.5,evo_to.6,evo_to.7
Caterpie,10,010 Caterpie.jpg,Bug,,,45,30,35,20,20,45,0.3,0.9,,Metapod,,,,,,,
Metapod,11,011 Metapod.jpg,Bug,,,50,20,55,25,25,30,0.7,9.9,Caterpie,Butterfree,,,,,,,
Butterfree,12,012 Butterfree.jpg,Bug,Flying,,60,45,50,90,80,70,1.1,32,Metapod,,,,,,,,
Weedle,13,013 Weedle.jpg,Bug,Poison,,40,35,30,20,20,50,0.3,3.2,,Kakuna,,,,,,,
Kakuna,14,014 Kakuna.jpg,Bug,Poison,,45,25,50,25,25,35,0.6,10,Weedle,Beedrill,,,,,,,
Beedrill,15,015 Beedrill.jpg,Bug,Poison,,65,90,40,45,80,75,1,29.5,Kakuna,Mega Beedrill,,,,,,,
Mega Beedrill,15,015.5 Mega Beedrill.jpg,Bug,Poison,,65,150,40,15,80,145,1.4,40.5,Beedrill,,,,,,,,
Pidgey,16,016 Pidgey.jpg,Normal,Flying,,40,45,40,35,35,56,0.3,1.8,,Pidgeotto,,,,,,,
Pidgeotto,17,017 Pidgeotto.jpg,Normal,Flying,,63,60,55,50,50,71,1.1,30,Pidgey,Pidgeot,,,,,,,
Pidgeot,18,018 Pidgeot.jpg,Normal,Flying,,83,80,75,70,70,101,1.5,39.5,Pidgeotto,Mega Pidgeot,,,,,,,
Mega Pidgeot,18,018.5 Mega Pidgeot.jpg,Normal,Flying,,83,80,80,135,80,121,2.2,50.5,Pidgeot,,,,,,,,
Rattata,19,019 Rattata.jpg,Normal,,,30,56,35,25,35,72,0.3,3.5,,Rattata Alolan,,,,,,,
Rattata Alolan,19,019 Rattata Alolan.jpg,Normal,Dark,,30,56,35,25,35,72,0.3,3.8,Rattata,,,,,,,,
Raticate,20,020 Raticate.jpg,Normal,,,55,81,60,50,70,97,0.7,18.5,,Raticate Alolan,,,,,,,
Raticate Alolan,20,020 Raticate Alolan.jpg,Normal,Dark,,75,71,70,40,80,77,0.7,25.5,Raticate,,,,,,,,
Spearow,21,021 Spearow.jpg,Normal,Flying,,40,60,30,31,31,70,0.3,2,,Fearow,,,,,,,
Fearow,22,022 Fearow.jpg,Normal,Flying,,65,90,65,61,61,100,1.2,38,Spearow,,,,,,,,
Ekans,23,023 Ekans.jpg,Poison,,,35,60,44,40,54,55,2,6.9,,Arbok,,,,,,,
Arbok,24,024 Arbok.jpg,Poison,,,60,95,69,65,79,80,3.5,65,Ekans,,,,,,,,
Sandshrew ,27,027 Sandshrew.jpg,Ground,,,50,75,85,20,30,40,0.6,12,,Sandslash ,,,,,,,
Sandshrew Alolan,27,027 Sandshrew Alolan.jpg,Ice,Steel,,50,75,90,10,35,40,0.7,40,,Sandslash Alolan,,,,,,,
Sandslash ,28,028 Sandslash.jpg,Ground,,,75,100,110,45,65,65,1,29.5,Sandshrew,,,,,,,,
Sandslash Alolan,28,028 Sandslash Alolan.jpg,Ice,Steel,,75,100,120,25,65,65,1.2,55,Sandshrew Alolan,,,,,,,,
Nidoran F,29,029 Nidoran F.jpg,Poison,,,55,47,52,40,40,41,0.4,7,,Nidorina,,,,,,,
Nidorina,30,030 Nidorina.jpg,Poison,,,70,67,67,55,55,56,0.8,20,Nidoran F,Nidoqueen,,,,,,,
Nidoqueen,31,031 Nidoqueen.jpg,Poison,Ground,,90,92,87,75,85,76,1.3,60,Nidorina,,,,,,,,
Nidoran M,32,032 Nidoran M.jpg,Poison,,,46,57,40,40,40,50,0.5,9,,Nidorino,,,,,,,
Nidorino,33,033 Nidorino.jpg,Poison,,,61,72,57,55,55,65,0.9,19.5,Nidoran M,Nidoking,,,,,,,
Nidoking,34,034 Nidoking.jpg,Poison,Ground,,81,102,77,85,75,85,1.4,62,Nidorino,,,,,,,,
Vulpix,37,037 Vulpix.jpg,Fire,,,38,41,40,50,65,65,0.6,9.9,,Ninetales,,,,,,,
Vulpix Alolan,37,037 Vulpix Alolan.jpg,Ice,,,38,41,40,50,65,65,0.6,9.9,,Ninetales Alolan,,,,,,,
Ninetales ,38,038 Ninetales.jpg,Fire,,,73,76,75,81,100,100,1.1,19.9,Vulpix,,,,,,,,
Ninetales Alolan,38,038 Ninetales Alolan.jpg,Ice,Fairy,,73,67,75,81,100,109,1.1,19.9,Vulpix Alolan,,,,,,,,
Zubat,41,041 Zubat.jpg,Poison,Flying,,40,45,35,30,40,55,0.8,7.5,,Golbat,,,,,,,
Golbat,42,042 Golbat.jpg,Poison,Flying,,75,80,70,65,75,90,1.6,55,Zubat,Crobat,,,,,,,
Crobat,169,042-169 Crobat.jpg,Poison,Flying,,85,90,80,70,80,130,1.8,75,Golbat,,,,,,,,
Oddish,43,043 Oddish.jpg,Grass,Poison,,45,50,55,75,65,30,0.5,5.4,,Gloom,,,,,,,
Gloom,44,044 Gloom.jpg,Grass,Poison,,60,65,70,85,75,40,0.8,8.6,Oddish,Vileplume,Bellossom,,,,,,
Vileplume,45,044-045 Vileplume.jpg,Grass,Poison,,75,80,85,110,90,50,1.2,18.6,Gloom,,,,,,,,
Bellossom,182,044-182 Bellossom.jpg,Grass,,,75,80,95,90,100,50,0.4,5.8,Gloom,,,,,,,,
Paras,46,046 Paras.jpg,Bug,Grass,,35,70,55,45,55,25,0.3,5.4,,Parasect,,,,,,,
Parasect,47,047 Parasect.jpg,Bug,Grass,,60,95,80,60,80,30,1,29.5,Paras,,,,,,,,
Venonat,48,048 Venonat.jpg,Bug,Poison,,60,55,50,40,55,45,1,30,,Venomoth,,,,,,,
Venomoth,49,049 Venomoth.jpg,Bug,Poison,,70,65,60,90,75,90,1.5,12.5,Venonat,,,,,,,,
Diglett,50,050 Diglett.jpg,Ground,,,10,55,25,35,45,95,0.2,0.8,,Dugtrio,,,,,,,
Diglett Alolan,50,050 Diglett Alolan.jpg,Ground,Steel,,10,55,30,35,45,90,0.2,1,,Dugtrio Alolan,,,,,,,
Dugtrio,51,051 Dugtrio.jpg,Ground,,,35,100,50,50,70,120,0.7,33.3,Diglett,,,,,,,,
Dugtrio Alolan,51,051 Dugtrio Alolan.jpg,Ground,Steel,,35,100,60,50,70,110,0.7,66.6,Diglett Alolan,,,,,,,,
Meowth ,52,052 Meowth.jpg,Normal,,,40,45,35,40,40,90,0.4,4.2,,Meowth,,,,,,,
Meowth Alolan,52,052 Meowth Alolan.jpg,Dark,,,40,35,35,50,40,90,0.4,4.2,,Meowth Alolan,,,,,,,
Meowth Galarian,52,052 Meowth Galarian.jpg,Steel,,,50,65,55,40,40,40,0.4,7.5,,,,,,,,,
Persian,53,053 Persian.jpg,Normal,,,65,70,60,65,65,115,1,32,Meowth,,,,,,,,
Persian Alolan,53,053 Persian Alolan.jpg,Dark,,,65,60,60,75,65,115,1.1,33,Meowth Alolan,,,,,,,,
Perrserker,863,052-863 Perrserker.jpg,Steel,,,70,110,100,50,60,50,0.8,28,Meowth Galarian,,,,,,,,
Psyduck,54,054 Psyduck.jpg,Water,,,50,52,48,65,50,55,0.8,19.6,,Golduck,,,,,,,
Golduck,55,055 Golduck.jpg,Water,,,80,82,78,95,80,85,1.7,76.6,Psyduck,,,,,,,,
Mankey,56,056 Mankey.jpg,Fighting,,,40,80,35,35,45,70,0.5,28,,Primeape,,,,,,,
Primeape,57,057 Primeape.jpg,Fighting,,,65,105,60,60,70,95,1,32,Mankey,,,,,,,,
Growlithe,58,058 Growlithe.jpg,Fire,,,55,70,45,70,50,60,0.7,19,,Arcanine,,,,,,,
Arcanine,59,059 Arcanine.jpg,Fire,,,90,110,80,100,80,95,1.9,155,Growlithe,,,,,,,,
Poliwag,60,060 Poliwag.jpg,Water,,,40,50,40,40,40,90,0.6,12.4,,Poliwhirl,,,,,,,
Poliwhirl,61,061 Poliwhirl.jpg,Water,,,65,65,65,50,50,90,1,20,Poliwag,Poliwrath,Politoed,,,,,,
Poliwrath,62,061-062 Poliwrath.jpg,Water,Fighting,,90,95,95,70,90,70,1.3,54,Poliwhirl,,,,,,,,
Politoed,186,061-186 Politoed.jpg,Water,,,90,75,75,90,100,70,1.1,33.9,Poliwhirl,,,,,,,,
Abra,63,063 Abra.jpg,Psychic,,,25,20,15,105,55,90,0.9,19.5,,Kadabra,,,,,,,
Kadabra,64,064 Kadabra.jpg,Psychic,,,40,35,30,120,70,105,1.3,56.5,Abra,Alakazam,,,,,,,
Alakazam,65,065 Alakazam.jpg,Psychic,,,55,50,45,135,95,120,1.5,48,Kadabra,Mega Alakazam,,,,,,,
Mega Alakazam,65,065.5 Mega Alakazam.jpg,Psychic,,,55,50,65,175,105,150,1.2,48,Alakazam,,,,,,,,
Machop,66,066 Machop.jpg,Fighting,,,70,80,50,35,35,35,0.8,19.5,,Machoke,,,,,,,
Machoke,67,067 Machoke.jpg,Fighting,,,80,100,70,50,60,45,1.5,70.5,Machop,Machamp,,,,,,,
Machamp,68,068 Machamp.jpg,Fighting,,,90,130,80,65,85,55,1.6,130,Machoke,,,,,,,,
Bellsprout,69,069 Bellsprout.jpg,Grass,Poison,,50,755,35,70,30,40,0.7,4,,Weepinbell,,,,,,,
Weepinbell,70,070 Weepinbell.jpg,Grass,Poison,,65,90,50,85,45,55,1,6.4,Bellsprout,Victreebel,,,,,,,
Victreebel,71,071 Victreebel.jpg,Grass,Poison,,80,105,65,100,70,70,1.7,15.5,Weepinbell,,,,,,,,
Tentacool,72,072 Tentacool.jpg,Water,Poison,,40,4,35,550,100,70,0.9,45.5,,Tentacruel,,,,,,,
Tentacruel,73,073 Tentacruel.jpg,Water,Poison,,80,70,65,80,120,100,1.6,55,Tentacool,,,,,,,,
Geodude,74,074 Geodude.jpg,Rock,Ground,,40,80,100,30,30,20,0.4,20,,Graveler,,,,,,,
Geodude Alolan,74,074 Geodude Alolan.jpg,Rock,Electric,,40,80,100,30,30,20,0.4,20.3,,Graveler Alolan,,,,,,,
Graveler,75,075 Graveler.jpg,Rock,Ground,,55,95,115,45,45,35,1,105,Geodude,Golem,,,,,,,
Graveler Alolan,75,075 Graveler Alolan.jpg,Rock,Electric,,55,95,115,45,45,35,1,110,Geodude Alolan,Golem Alolan,,,,,,,
Golem,76,076 Golem.jpg,Rock,Ground,,80,120,130,55,65,45,1.4,300,Graveler,,,,,,,,
Golem Alolan,76,076 Golem Alolan.jpg,Rock,Electric,,80,120,130,55,65,45,1.7,316,Graveler Alolan,,,,,,,,
Ponyta,77,077 Ponyta.jpg,Fire,,,50,85,55,65,65,90,1,30,,Rapidash,,,,,,,
Ponyta Galarian,77,077 Ponyta Galarian.jpg,Psychic,,,50,85,55,65,65,90,0.8,24,Ponyta,,,,,,,,
Rapidash,78,078 Rapidash.jpg,Fire,,,65,100,70,80,80,105,1.7,95,,Rapidash Galarian,,,,,,,
Rapidash Galarian,78,078 Rapidash Galarian.jpg,Psychic,Fairy,,65,100,70,80,80,105,1.7,80,Ponyta Galarian,,,,,,,,
Slowpoke,79,079 Slowpoke.jpg,Water,Psychic,,90,65,65,40,40,15,1.2,36,,Slowbro,,,,,,,
Slowpoke Galarian,79,079 Slowpoke Galarian.jpg,Psychic,,,90,65,65,40,40,15,1.2,36,,Slowbro Galarian,,,,,,,
Slowbro,80,079-080 Slowbro.jpg,Water,Psychic,,95,75,110,100,80,30,1.6,78.5,Slowpoke,Mega Slowbro,,,,,,,
Mega Slowbro,80,079-080-080.5 Mega Slowbro.jpg,Water,Psychic,,95,75,180,130,80,30,2,120,Slowbro,,,,,,,,
Slowbro Galarian,80,079-080 Slowbro Galarian.jpg,Poison,Psychic,,95,100,95,100,70,30,1.6,70.5,Slowpoke Galarian,,,,,,,,
Slowking,199,079-199 Slowking.jpg,Water,Psychic,,95,75,80,100,110,30,2,79.5,Slowpoke,,,,,,,,
Slowking Galarian,199,079-199 Slowking Galarian.jpg,Poison,Psychic,,95,65,80,110,110,30,1.8,79.5,Slowpoke Galarian,,,,,,,,
Magnemite,81,081 Magnemite.jpg,Electric,Steel,,25,35,70,95,55,45,0.3,6,,Magneton,,,,,,,
Magneton,82,082 Magneton.jpg,Electric,Steel,,50,60,95,120,70,70,1,60,Magnemite,Magnezone,,,,,,,
Magnezone,462,082-462 Magnezone.jpg,Electric,Steel,,70,70,115,130,90,60,1.2,180,Magneton,,,,,,,,
Farfetch'd,83,083 Farfetch'd.jpg,Normal,Flying,,52,90,55,58,62,60,0.8,15,,,,,,,,,
Farfetch'd Galarian,83,083 Farfetch'd Galarian.jpg,Fighting,,,52,90,55,58,62,55,0.8,42,,Sirfetchd,,,,,,,
Sirfetchd,865,083-865 Sirfetchd.jpg,Fighting,,,62,135,95,68,82,65,0.8,117,Farfetch'd Galarian,,,,,,,,
Doduo,84,084 Doduo.jpg,Normal,Flying,,35,85,45,35,35,75,1.4,39.2,,Dodrio,,,,,,,
Dodrio,85,085 Dodrio.jpg,Normal,Flying,,60,110,70,60,60,110,1.8,85.2,Doduo,,,,,,,,
Seel,86,086 Seel.jpg,Water,,,65,45,55,45,70,45,1.1,90,,Dewgong,,,,,,,
Dewgong,87,087 Dewgong.jpg,Water,Ice,,90,70,80,70,95,70,1.7,120,Seel,,,,,,,,
Grimer,88,088 Grimer.jpg,Poison,,,80,80,50,40,50,25,0.9,30,,Muk,,,,,,,
Grimer Alolan,88,088 Grimer Alolan.jpg,Poison,Dark,,80,80,50,40,50,25,0.7,42,,Muk Alolan,,,,,,,
Muk,89,089 Muk.jpg,Poison,,,105,105,75,65,100,50,1.2,30,Grimer,,,,,,,,
Muk Alolan,89,089 Muk Alolan.jpg,Poison,Dark,,105,105,75,65,100,50,1,52,Grimer Alolan,,,,,,,,
Shellder,90,090 Shellder.jpg,Water,,,30,65,100,45,25,40,0.3,4,,Cloyster,,,,,,,
Cloyster,91,091 Cloyster.jpg,Water,Ice,,50,95,180,85,45,70,1.5,132.5,Shellder,,,,,,,,
Gastly,92,092 Gastly.jpg,Ghost,Poison,,30,35,30,100,35,80,1.3,0.1,,Haunter,,,,,,,
Haunter,93,093 Haunter.jpg,Ghost,Poison,,45,50,45,115,55,95,1.6,0.1,Gastly,Gengar,,,,,,,
Gengar,94,094 Gengar.jpg,Ghost,Poison,,60,65,60,130,75,110,1.5,40.5,Haunter,Mega Gengar,,,,,,,
Mega Gengar,94,094.5 Mega Gengar.jpg,Ghost,Poison,,60,65,80,170,95,130,1.4,40.5,Gengar,,,,,,,,
Onix,95,095 Onix.jpg,Rock,Ground,,35,45,160,30,45,70,8.8,210,,Steelix,,,,,,,
Steelix,208,095-208 Steelix.jpg,Steel,Ground,,75,85,200,55,65,30,9.2,400,Onix,Mega Steelix,,,,,,,
Mega Steelix,208,095-208-208.5 Mega Steelix.jpg,Steel,Ground,,75,125,230,55,95,30,10.5,740,Steelix,,,,,,,,
Drowzee,96,096 Drowzee.jpg,Psychic,,,60,48,45,43,90,42,1,32.4,,Hypno,,,,,,,
Hypno,97,097 Hypno.jpg,Psychic,,,85,73,70,73,115,67,1.6,75.6,Drowzee,,,,,,,,
Krabby,98,098 Krabby.jpg,Water,,,30,105,90,25,25,50,0.4,6.5,,Kingler,,,,,,,
Kingler,99,099 Kingler.jpg,Water,,,55,130,115,50,50,75,1.3,60,Krabby,,,,,,,,
Voltorb,100,100 Voltorb.jpg,Electric,,,40,30,50,55,55,100,0.5,10.4,,Electrode,,,,,,,
Electrode,101,101 Electrode.jpg,Electric,,,60,50,70,80,80,150,1.2,66.6,Voltorb,,,,,,,,
Exeggcute,102,102 Exeggcute.jpg,Grass,Psychic,,60,40,80,60,45,40,0.4,2.5,,Exeggutor,Exeggutor Alolan,,,,,,
Exeggutor,103,103 Exeggutor.jpg,Grass,Psychic,,95,95,85,125,75,55,2,120,Exeggcute,,,,,,,,
Exeggutor Alolan,103,103 Exeggutor Alolan.jpg,Grass,Dragon,,95,105,85,125,75,45,10.9,415.6,Exeggcute,,,,,,,,
Cubone,104,104 Cubone.jpg,Ground,,,50,50,90,40,50,35,0.4,6.5,,Marowak,Marowak Alolan,,,,,,
Marowak,105,105 Marowak.jpg,Ground,,,60,80,110,50,80,45,1,45,Cubone,,,,,,,,
Marowak Alolan,105,105 Marowak Alolan.jpg,Fire,Ghost,,60,80,110,50,80,45,1,34,Cubone,,,,,,,,
Lickitung,108,108 Lickitung.jpg,Normal,,,90,55,75,60,75,30,1.2,65.5,,Lickilicky,,,,,,,
Lickilicky,463,108-463 Lickilicky.jpg,Normal,,,110,85,95,80,95,50,1.7,140,Lickitung,,,,,,,,
Koffing,109,109 Koffing.jpg,Poison,,,40,65,95,60,45,35,0.6,1,,Weezing,Weezing Galarian,,,,,,
Weezing,110,110 Weezing.jpg,Poison,,,65,90,120,85,70,60,1.2,9.5,Koffing,,,,,,,,
Weezing Galarian,110,110 Weezing Galarian.jpg,Poison,Fairy,,65,90,120,85,70,60,3,16,Koffing,,,,,,,,
Rhyhorn,111,111 Rhyhorn.jpg,Ground,Rock,,80,85,95,30,30,25,1,115,,Rhydon,,,,,,,
Rhydon,112,112 Rhydon.jpg,Ground,Rock,,105,130,120,45,45,40,1.9,120,Rhyhorn,Rhyperior,,,,,,,
Rhyperior,464,112-464 Rhyperior.jpg,Ground,Rock,,115,140,130,55,55,40,2.4,282.8,Rhydon,,,,,,,,
Tangela,114,114 Tangela.jpg,Grass,,,65,55,115,100,40,60,1,35,,Tangrowth,,,,,,,
Tangrowth,465,114-465 Tangrowth.jpg,Grass,,,100,100,125,110,50,50,2,128.6,Tangela,,,,,,,,
Kangaskhan,115,115 Kangaskhan.jpg,Normal,,,105,95,80,40,80,90,2.2,80,,Mega Kangaskhan,,,,,,,
Mega Kangaskhan,115,115.5 Mega Kangaskhan.jpg,Normal,,,105,125,100,60,100,100,2.2,100,Kangaskhan,,,,,,,,
Horsea,116,116 Horsea.jpg,Water,,,30,40,70,70,25,60,0.4,8,,Seadra,,,,,,,
Seadra,117,117 Seadra.jpg,Water,,,55,65,95,95,45,85,1.2,25,Horsea,Kingdra,,,,,,,
Kingdra,230,117-230 Kingdra.jpg,Water,Dragon,,75,95,95,95,95,85,1.8,152,Seadra,,,,,,,,
Goldeen,118,118 Goldeen.jpg,Water,,,45,67,6,35,50,63,0.6,15,,Seaking,,,,,,,
Seaking,119,119 Seaking.jpg,Water,,,80,92,5,65,80,68,1.3,39,Goldeen,,,,,,,,
Staryu,120,120 Staryu.jpg,Water,,,30,45,55,70,55,85,0.8,34.5,,Starmie,,,,,,,
Starmie,121,121 Starmie.jpg,Water,Psychic,,60,75,85,100,85,115,1.1,80,Staryu,,,,,,,,
Scyther,123,123 Scyther.jpg,Bug,Flying,,70,110,80,55,80,105,1.5,56,,Scizor,,,,,,,
Scizor,212,123-212 Scizor.jpg,Bug,Steel,,70,130,100,55,80,65,1.8,118,Scyther,Mega Scizor,,,,,,,
Mega Scizor,212,123-212-212.5 Mega Scizor.jpg,Bug,Steel,,70,150,140,65,100,75,2,125,Scizor,,,,,,,,
Pinsir,127,127 Pinsir.jpg,Bug,,,65,125,100,55,70,85,1.5,55,,Mega Pinsir,,,,,,,
Mega Pinsir,127,127.5 Mega Pinsir.jpg,Bug,Flying,,65,155,120,65,90,105,1.7,59,Pinsir,,,,,,,,
Tauros,128,128 Tauros.jpg,Normal,,,75,100,95,40,70,110,1.4,88.4,,,,,,,,,
Magikarp,129,129 Magikarp.jpg,Water,,,20,10,55,15,20,80,0.9,10,,Gyarados,,,,,,,
Gyarados,130,130 Gyarados.jpg,Water,Flying,,95,125,79,60,100,81,6.5,235,Magikarp,Mega Gyarados,,,,,,,
Mega Gyarados,130,130.5 Mega Gyarados.jpg,Water,Dark,,95,155,109,70,130,81,6.5,305,Gyarados,,,,,,,,
Lapras,131,131 Lapras.jpg,Water,Ice,,130,85,80,85,95,60,2.5,220,,,,,,,,,
Ditto,132,132 Ditto.jpg,Normal,,,48,48,48,48,48,48,0.3,4,,,,,Espeon,Umbreon,Leafeon,Glaceon,Sylveon
Eevee,133,133 Eevee.jpg,Normal,,,55,55,50,45,65,55,0.3,6.5,,Vaporeon,Jolteon,Flareon,,,,,
Vaporeon,134,133-134 Vaporeon.jpg,Water,,,130,65,60,110,95,65,1,29,Eevee,,,,,,,,
Jolteon,135,133-135 Jolteon.jpg,Electric,,,65,65,60,110,95,130,0.8,24.5,Eevee,,,,,,,,
Flareon,136,133-136 Flareon.jpg,Fire,,,65,130,60,95,110,65,0.9,25,Eevee,,,,,,,,
Espeon,196,133-196 Espeon.jpg,Psychic,,,65,65,60,130,95,110,0.9,26.5,Eevee,,,,,,,,
Umbreon,197,133-197 Umbreon.jpg,Dark,,,95,65,110,60,130,65,1,27,Eevee,,,,,,,,
Leafeon,470,133-470 Leafeon.jpg,Grass,,,65,110,130,60,65,95,1,25,Eevee,,,,,,,,
Glaceon,471,133-471 Glaceon.jpg,Ice,,,65,60,110,130,95,65,0.8,25.9,Eevee,,,,,,,,
Sylveon,700,133-700 Sylveon.jpg,Fairy,,,95,65,65,110,130,60,1,23.5,Eevee,,,,,,,,
Porygon,137,137 Porygon.jpg,Normal,,,65,60,70,85,75,40,0.8,36.5,,Porygon2,,,,,,,
Porygon2,233,137-233 Porygon2.jpg,Normal,,,85,80,90,105,95,60,0.6,32.5,Porygon,Porygon-Z,,,,,,,
Porygon-Z,474,137-233-474 Porygon-Z.jpg,Normal,,,85,80,70,135,75,90,0.9,34,Porygon2,,,,,,,,
Omanyte,138,138 Omanyte.jpg,Rock,Water,,35,40,100,90,55,35,0.4,7.5,,Omastar,,,,,,,
Omastar,139,139 Omastar.jpg,Rock,Water,,70,60,125,115,70,55,1,35,Omanyte,,,,,,,,
Kabuto,140,140 Kabuto.jpg,Rock,Water,,30,80,90,55,45,55,0.5,11.5,,Kabutops,,,,,,,
Kabutops,141,141 Kabutops.jpg,Rock,Water,,60,115,105,65,70,80,1.3,40.5,Kabuto,,,,,,,,
Aerodactyl,142,142 Aerodactyl.jpg,Rock,Flying,,80,105,65,60,75,130,1.8,59,,Mega Aerodactyl,,,,,,,
Mega Aerodactyl,142,142.5 Mega Aerodactyl.jpg,Rock,Flying,,80,135,85,70,95,150,2.1,79,Aerodactyl,,,,,,,,
Articuno,144,144 Articuno.jpg,Ice,Flying,,90,85,100,95,125,85,1.7,55.4,,,,,,,,,
Articuno Galarian,144,144 Articuno Galarian.jpg,Psychic,Flying,,90,85,85,125,100,95,1.7,50.9,,,,,,,,,
Zapdos,145,145 Zapdos.jpg,Electric,Flying,,90,90,85,125,90,100,1.6,52.6,,,,,,,,,
Zapdos Galarian,145,145 Zapdos Galarian.jpg,Fighting,Flying,,90,125,90,85,90,100,1.6,58.2,,,,,,,,,
Moltres,146,146 Moltres.jpg,Fire,Flying,,90,100,90,125,85,90,2,60,,,,,,,,,
Moltres Galarian,146,146 Moltres Galarian.jpg,Dark,Flying,,90,85,90,100,125,90,2,66,,,,,,,,,
Dratini,147,147 Dratini.jpg,Dragon,,,41,64,45,50,50,50,1.8,3.3,,Dragonair,,,,,,,
Dragonair,148,148 Dragonair.jpg,Dragon,,,61,84,65,70,70,70,4,16.5,Dratini,Dragonite,,,,,,,
Dragonite,149,149 Dragonite.jpg,Dragon,Flying,,91,134,95,100,100,80,2.2,210,Dragonair,,,,,,,,
Mewtwo,150,150 Mewtwo.jpg,Psychic,,,106,110,90,154,90,130,2,122,,Mega Mewtwo X,Mega Mewtwo Y,,,,,,
Mega Mewtwo X,150,150.5 Mega Mewtwo X.jpg,Psychic,Fighting,,106,190,100,154,100,130,2.3,127,Mewtwo,,,,,,,,
Mega Mewtwo Y,150,150.5 Mega Mewtwo Y.jpg,Psychic,,,106,150,70,194,120,140,1.5,33,Mewtwo,,,,,,,,
Mew,151,151 Mew.jpg,Psychic,,,100,100,100,100,100,100,0.4,4,,,,,,,,,
Chikorita,152,152 Chikorita.jpg,Grass,,,45,49,65,49,5,45,0.9,6.4,,Bayleef,,,,,,,
Bayleef,153,153 Bayleef.jpg,Grass,,,60,62,80,63,80,60,1.2,15.8,Chikorita,Meganium,,,,,,,
Meganium,154,154 Meganium.jpg,Grass,,,80,82,100,83,100,82,1.8,100,Bayleef,,,,,,,,
Cyndaquil,155,155 Cyndaquil.jpg,Fire,,,39,52,43,60,50,65,0.5,7.9,,Quilava,,,,,,,
Quilava,156,156 Quilava.jpg,Fire,,,58,64,58,80,65,80,0.9,19,Cyndaquil,Typhlosion,,,,,,,
Typhlosion,157,157 Typhlosion.jpg,Fire,,,78,84,78,109,85,100,1.7,79.5,Quilava,,,,,,,,
Totodile,158,158 Totodile.jpg,Water,,,50,65,64,44,48,43,0.6,9.5,,Croconaw,,,,,,,
Croconaw,159,159 Croconaw.jpg,Water,,,65,80,80,59,63,58,1.1,25,Totodile,Feraligatr,,,,,,,
Feraligatr,160,160 Feraligatr.jpg,Water,,,85,105,100,79,83,78,2.3,88.8,Croconaw,,,,,,,,
Sentret,161,161 Sentret.jpg,Normal,,,35,46,34,35,45,20,0.8,6,,Furret,,,,,,,
Furret,162,162 Furret.jpg,Normal,,,85,76,64,45,55,90,1.8,32.5,Sentret,,,,,,,,
Hoothoot,163,163 Hoothoot.jpg,Normal,Flying,,60,30,30,36,56,50,0.7,21.2,,Noctowl,,,,,,,
Noctowl,164,164 Noctowl.jpg,Normal,Flying,,100,50,50,86,96,70,1.6,40.8,Hoothoot,,,,,,,,
Ledyba,165,165 Ledyba.jpg,Bug,Flying,,40,20,30,40,80,55,1,10.8,,Ledian,,,,,,,
