name,number,image,type.0,type.1,type.2,hp,attack,defense,sp_atk,sp_def,speed,heightM,weightKG,evo_from,evo_to.0,evo_to.1,evo_to.2,evo_to.3,evo_to.4,evo_to.5,evo_to.6,evo_to.7
Pidgeotto,17,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F017%20Pidgeotto.jpg?alt=media&token=7734dd92-8127-493e-a0a9-0e6c9ee86b5d,Normal,Flying,,63,60,55,50,50,71,1.1,30,Pidgey,Pidgeot,,,,,,,
Pidgeot,18,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F018%20Pidgeot.jpg?alt=media&token=9d441c50-ac32-4ae2-965d-13c9ed9c7ed5,Normal,Flying,,83,80,75,70,70,101,1.5,39.5,Pidgeotto,Mega Pidgeot,,,,,,,
Mega Pidgeot,18,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F018.5%20Mega%20Pidgeot.jpg?alt=media&token=94d1048d-ab68-4743-8c8c-154bb58bf85c,Normal,Flying,,83,80,80,135,80,121,2.2,50.5,Pidgeot,,,,,,,,
Rattata,19,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F019%20Rattata.jpg?alt=media&token=a0cfeff9-2e39-4a27-b77a-51cb74c9ee0f,Normal,,,30,56,35,25,35,72,0.3,3.5,,Rattata Alolan,,,,,,,
Rattata Alolan,19,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F019%20Rattata%20Alolan.jpg?alt=media&token=edfadd7b-0756-41db-80e0-247e78f900b6,Normal,Dark,,30,56,35,25,35,72,0.3,3.8,Rattata,,,,,,,,
Raticate,20,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F020%20Raticate.jpg?alt=media&token=42af483d-2162-4b1d-b53f-dd2caedcfd5a,Normal,,,55,81,60,50,70,97,0.7,18.5,,Raticate Alolan,,,,,,,
Raticate Alolan,20,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F020%20Raticate%20Alolan.jpg?alt=media&token=259a8e49-cd04-42dc-9906-a8a297a4d275,Normal,Dark,,75,71,70,40,80,77,0.7,25.5,Raticate,,,,,,,,
Spearow,21,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F021%20Spearow.jpg?alt=media&token=2229c0ca-b4d4-4659-a88f-b429d5446c9d,Normal,Flying,,40,60,30,31,31,70,0.3,2,,Fearow,,,,,,,
Fearow,22,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F022%20Fearow.jpg?alt=media&token=fbd4faf4-ae7f-43dd-8501-767880c00e4b,Normal,Flying,,65,90,65,61,61,100,1.2,38,Spearow,,,,,,,,
Ekans,23,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F023%20Ekans.jpg?alt=media&token=5b754e2e-bd72-4825-9bf1-24d050010bf3,Poison,,,35,60,44,40,54,55,2,6.9,,Arbok,,,,,,,
Arbok,24,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F024%20Arbok.jpg?alt=media&token=fff8251e-e574-41e4-b9fb-4bbe42dc51a4,Poison,,,60,95,69,65,79,80,3.5,65,Ekans,,,,,,,,
Sandshrew ,27,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F027%20Sandshrew.jpg?alt=media&token=bcf4bc3e-533c-4a6f-9a61-4b8d19a33ce7,Ground,,,50,75,85,20,30,40,0.6,12,,Sandslash ,,,,,,,
Sandshrew Alolan,27,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F027%20Sandshrew%20Alolan.jpg?alt=media&token=e6ddafcc-476a-4e20-bb84-82d3ec7cf962,Ice,Steel,,50,75,90,10,35,40,0.7,40,,Sandslash Alolan,,,,,,,
Sandslash ,28,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F028%20Sandslash.jpg?alt=media&token=0df6a565-2dde-4349-b149-3b4b0bfe0e65,Ground,,,75,100,110,45,65,65,1,29.5,Sandshrew,,,,,,,,
Sandslash Alolan,28,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F028%20Sandslash%20Alolan.jpg?alt=media&token=9ab1433b-8d9a-478f-9208-0ee9d7e59ef0,Ice,Steel,,75,100,120,25,65,65,1.2,55,Sandshrew Alolan,,,,,,,,
Nidoran F,29,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F029%20Nidoran%20F.jpg?alt=media&token=e1465ee0-cf5e-40c8-98c1-b0ee31e280a6,Poison,,,55,47,52,40,40,41,0.4,7,,Nidorina,,,,,,,
Nidorina,30,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F030%20Nidorina.jpg?alt=media&token=a29a2d3a-6a82-4484-aaa3-984ce75ff4b4,Poison,,,70,67,67,55,55,56,0.8,20,Nidoran F,Nidoqueen,,,,,,,
Nidoqueen,31,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F031%20Nidoqueen.jpg?alt=media&token=ebda4242-9468-4b1c-95d5-ee74c086abc3,Poison,Ground,,90,92,87,75,85,76,1.3,60,Nidorina,,,,,,,,
Nidoran M,32,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F032%20Nidoran%20M.jpg?alt=media&token=6834088c-e361-4e11-9643-e02e0b03492b,Poison,,,46,57,40,40,40,50,0.5,9,,Nidorino,,,,,,,
Nidorino,33,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F033%20Nidorino.jpg?alt=media&token=374be688-eb20-416a-a63d-35dc680da626,Poison,,,61,72,57,55,55,65,0.9,19.5,Nidoran M,Nidoking,,,,,,,
Nidoking,34,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F034%20Nidoking.jpg?alt=media&token=f45e7f9a-669e-44b4-b4b8-e87e50496ed1,Poison,Ground,,81,102,77,85,75,85,1.4,62,Nidorino,,,,,,,,
Vulpix,37,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F037%20Vulpix.jpg?alt=media&token=4cb0daab-cfae-45ed-ac9e-027dbb939d5d,Fire,,,38,41,40,50,65,65,0.6,9.9,,Ninetales,,,,,,,
Vulpix Alolan,37,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F037%20Vulpix%20Alolan.jpg?alt=media&token=6ddc0128-23cb-4f06-be95-a5aad4ca356d,Ice,,,38,41,40,50,65,65,0.6,9.9,,Ninetales Alolan,,,,,,,
Ninetales ,38,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F038%20Ninetales.jpg?alt=media&token=1811e89e-99d0-40cd-95e7-670295704ad9,Fire,,,73,76,75,81,100,100,1.1,19.9,Vulpix,,,,,,,,
Ninetales Alolan,38,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F038%20Ninetales%20Alolan.jpg?alt=media&token=474debac-f73e-4f26-ab65-056b7c66de37,Ice,Fairy,,73,67,75,81,100,109,1.1,19.9,Vulpix Alolan,,,,,,,,
Zubat,41,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F041%20Zubat.jpg?alt=media&token=cef08e36-e886-4571-a762-5652d12b589c,Poison,Flying,,40,45,35,30,40,55,0.8,7.5,,Golbat,,,,,,,
Golbat,42,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F042%20Golbat.jpg?alt=media&token=6050002d-4ea3-4969-a761-f7c8536b896e,Poison,Flying,,75,80,70,65,75,90,1.6,55,Zubat,Crobat,,,,,,,
Crobat,169,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F042-169%20Crobat.jpg?alt=media&token=5dd08523-bc36-41fa-b3f9-0e32eae3aea6,Poison,Flying,,85,90,80,70,80,130,1.8,75,Golbat,,,,,,,,
Oddish,43,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F043%20Oddish.jpg?alt=media&token=ec712b1f-9c27-468b-9555-b1f5987b6734,Grass,Poison,,45,50,55,75,65,30,0.5,5.4,,Gloom,,,,,,,
Gloom,44,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F044%20Gloom.jpg?alt=media&token=5249eb3b-833b-438c-a937-243ac54a7095,Grass,Poison,,60,65,70,85,75,40,0.8,8.6,Oddish,Vileplume,Bellossom,,,,,,
Vileplume,45,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F044-045%20Vileplume.jpg?alt=media&token=c44d3f5f-7813-48dc-a6db-6fc650075131,Grass,Poison,,75,80,85,110,90,50,1.2,18.6,Gloom,,,,,,,,
Bellossom,182,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F044-182%20Bellossom.jpg?alt=media&token=8013005b-d20f-4c6f-8f19-2f42eac81df5,Grass,,,75,80,95,90,100,50,0.4,5.8,Gloom,,,,,,,,
Paras,46,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F046%20Paras.jpg?alt=media&token=9f638b18-48b1-48e9-80fb-00156a3f3147,Bug,Grass,,35,70,55,45,55,25,0.3,5.4,,Parasect,,,,,,,
Parasect,47,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F047%20Parasect.jpg?alt=media&token=97109287-d2e6-4921-ad88-b6a6e581bcc1,Bug,Grass,,60,95,80,60,80,30,1,29.5,Paras,,,,,,,,
Venonat,48,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F048%20Venonat.jpg?alt=media&token=b8d744b1-cb32-4533-9d4c-aba1105dfb38,Bug,Poison,,60,55,50,40,55,45,1,30,,Venomoth,,,,,,,
Venomoth,49,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F049%20Venomoth.jpg?alt=media&token=b75ff59a-75c9-4006-a3ed-74ff8f52e282,Bug,Poison,,70,65,60,90,75,90,1.5,12.5,Venonat,,,,,,,,
Diglett,50,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F050%20Diglett.jpg?alt=media&token=18a58d3a-4d8d-4557-b8b6-7041ec7a2d5c,Ground,,,10,55,25,35,45,95,0.2,0.8,,Dugtrio,,,,,,,
Diglett Alolan,50,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F050%20Diglett%20Alolan.jpg?alt=media&token=53610807-c7f9-4d7f-94db-8be38f1da0fe,Ground,Steel,,10,55,30,35,45,90,0.2,1,,Dugtrio Alolan,,,,,,,
Dugtrio,51,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F051%20Dugtrio.jpg?alt=media&token=919be9d2-c9f2-40dd-bace-9ea92dd5fc1d,Ground,,,35,100,50,50,70,120,0.7,33.3,Diglett,,,,,,,,
Dugtrio Alolan,51,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F051%20Dugtrio%20Alolan.jpg?alt=media&token=dbbff9de-75b1-45f4-a783-8ae2d37eae45,Ground,Steel,,35,100,60,50,70,110,0.7,66.6,Diglett Alolan,,,,,,,,
Meowth ,52,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F052%20Meowth.jpg?alt=media&token=7ea84a15-8287-4cd2-99d6-d16183d9894d,Normal,,,40,45,35,40,40,90,0.4,4.2,,Meowth,,,,,,,
Meowth Alolan,52,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F052%20Meowth%20Alolan.jpg?alt=media&token=3c4b556b-df27-4a71-a8fb-3e9dbcdc83dc,Dark,,,40,35,35,50,40,90,0.4,4.2,,Meowth Alolan,,,,,,,
Meowth Galarian,52,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F052%20Meowth%20Galarian.jpg?alt=media&token=430bd51f-a225-4342-bab4-dea6d9474419,Steel,,,50,65,55,40,40,40,0.4,7.5,,,,,,,,,
Persian,53,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F053%20Persian.jpg?alt=media&token=ea64f271-1ea8-4559-b922-fb6c75705fdb,Normal,,,65,70,60,65,65,115,1,32,Meowth,,,,,,,,
Persian Alolan,53,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F053%20Persian%20Alolan.jpg?alt=media&token=c2908b77-6bab-4036-aa96-6cfa6af9f5af,Dark,,,65,60,60,75,65,115,1.1,33,Meowth Alolan,,,,,,,,
Perrserker,863,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F052-863%20Perrserker.jpg?alt=media&token=b40da48c-41ca-421a-b9fe-e66d58e07c49,Steel,,,70,110,100,50,60,50,0.8,28,Meowth Galarian,,,,,,,,
Psyduck,54,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F054%20Psyduck.jpg?alt=media&token=a8a002fc-9c7d-41e7-9fb1-bbf4419008af,Water,,,50,52,48,65,50,55,0.8,19.6,,Golduck,,,,,,,
Golduck,55,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F055%20Golduck.jpg?alt=media&token=52a87695-1049-49c0-af95-fe8818daad62,Water,,,80,82,78,95,80,85,1.7,76.6,Psyduck,,,,,,,,
Mankey,56,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F056%20Mankey.jpg?alt=media&token=457eecbb-a726-4361-ba50-7f1c2b9abefa,Fighting,,,40,80,35,35,45,70,0.5,28,,Primeape,,,,,,,
Primeape,57,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F057%20Primeape.jpg?alt=media&token=2bafff08-7c50-4a2a-8eb9-4544d3c45eaf,Fighting,,,65,105,60,60,70,95,1,32,Mankey,,,,,,,,
Growlithe,58,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F058%20Growlithe.jpg?alt=media&token=353fc4cf-92fb-478a-952c-83bcfe5088fe,Fire,,,55,70,45,70,50,60,0.7,19,,Arcanine,,,,,,,
Arcanine,59,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F059%20Arcanine.jpg?alt=media&token=e806a5fe-3904-43f2-82c5-1421acf4d7b6,Fire,,,90,110,80,100,80,95,1.9,155,Growlithe,,,,,,,,
Poliwag,60,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F060%20Poliwag.jpg?alt=media&token=c5b4ec4b-72a9-4ac0-a265-a77a41261d82,Water,,,40,50,40,40,40,90,0.6,12.4,,Poliwhirl,,,,,,,
Poliwhirl,61,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F061%20Poliwhirl.jpg?alt=media&token=5ee0cdb6-13b0-41a3-8cc7-738ee5eaec81,Water,,,65,65,65,50,50,90,1,20,Poliwag,Poliwrath,Politoed,,,,,,
Poliwrath,62,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F061-062%20Poliwrath.jpg?alt=media&token=120148bb-addf-450d-a1e3-9b6e881e3796,Water,Fighting,,90,95,95,70,90,70,1.3,54,Poliwhirl,,,,,,,,
Politoed,186,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F061-186%20Politoed.jpg?alt=media&token=da0e0053-2e51-4c46-901f-6542d03c803c,Water,,,90,75,75,90,100,70,1.1,33.9,Poliwhirl,,,,,,,,
Abra,63,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F063%20Abra.jpg?alt=media&token=9e9ade46-3df0-4619-b291-09501e2a919f,Psychic,,,25,20,15,105,55,90,0.9,19.5,,Kadabra,,,,,,,
Kadabra,64,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F064%20Kadabra.jpg?alt=media&token=2dc615d4-5568-4778-9708-c4ad7fea26e2,Psychic,,,40,35,30,120,70,105,1.3,56.5,Abra,Alakazam,,,,,,,
Alakazam,65,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F065%20Alakazam.jpg?alt=media&token=0794ff4c-472e-473d-850c-6541b291924e,Psychic,,,55,50,45,135,95,120,1.5,48,Kadabra,Mega Alakazam,,,,,,,
Mega Alakazam,65,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F065.5%20Mega%20Alakazam.jpg?alt=media&token=56e25fab-46ae-4468-a87a-5fef41c00d2e,Psychic,,,55,50,65,175,105,150,1.2,48,Alakazam,,,,,,,,
Machop,66,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F066%20Machop.jpg?alt=media&token=e527a6ad-cd65-4f37-9585-9258cc364f51,Fighting,,,70,80,50,35,35,35,0.8,19.5,,Machoke,,,,,,,
Machoke,67,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F067%20Machoke.jpg?alt=media&token=98379685-6023-4b54-b42a-5754707ac620,Fighting,,,80,100,70,50,60,45,1.5,70.5,Machop,Machamp,,,,,,,
Machamp,68,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F068%20Machamp.jpg?alt=media&token=567d1b3c-b6cc-4461-9215-c1023e56b2dd,Fighting,,,90,130,80,65,85,55,1.6,130,Machoke,,,,,,,,
Bellsprout,69,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F069%20Bellsprout.jpg?alt=media&token=1b346f00-c7a3-4294-b883-c4e46079dfe0,Grass,Poison,,50,755,35,70,30,40,0.7,4,,Weepinbell,,,,,,,
Weepinbell,70,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F070%20Weepinbell.jpg?alt=media&token=51f3f3c8-05e1-401e-a8be-9b5a40b60f26,Grass,Poison,,65,90,50,85,45,55,1,6.4,Bellsprout,Victreebel,,,,,,,
Victreebel,71,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F071%20Victreebel.jpg?alt=media&token=8f06432c-4bba-4a68-9757-07ff36f4f510,Grass,Poison,,80,105,65,100,70,70,1.7,15.5,Weepinbell,,,,,,,,
Tentacool,72,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F072%20Tentacool.jpg?alt=media&token=3b44ada1-8d22-4e6f-bfb0-1971692f171f,Water,Poison,,40,4,35,550,100,70,0.9,45.5,,Tentacruel,,,,,,,
Tentacruel,73,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F073%20Tentacruel.jpg?alt=media&token=4232fbaa-e488-4ba2-b851-79332c5d2659,Water,Poison,,80,70,65,80,120,100,1.6,55,Tentacool,,,,,,,,
Geodude,74,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F074%20Geodude.jpg?alt=media&token=2d026a41-26d4-49d0-9369-d7147a3bbe69,Rock,Ground,,40,80,100,30,30,20,0.4,20,,Graveler,,,,,,,
Geodude Alolan,74,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F074%20Geodude%20Alolan.jpg?alt=media&token=c2f2c4e4-9a28-406b-ae64-b16297ab1880,Rock,Electric,,40,80,100,30,30,20,0.4,20.3,,Graveler Alolan,,,,,,,
Graveler,75,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F075%20Graveler.jpg?alt=media&token=e6d22b4e-44c3-460c-8e77-018b7ffa6df7,Rock,Ground,,55,95,115,45,45,35,1,105,Geodude,Golem,,,,,,,
Graveler Alolan,75,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F075%20Graveler%20Alolan.jpg?alt=media&token=7dd2a689-4f3e-4fed-ad7e-754f59fa24c6,Rock,Electric,,55,95,115,45,45,35,1,110,Geodude Alolan,Golem Alolan,,,,,,,
Golem,76,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F076%20Golem.jpg?alt=media&token=a53dc2db-2fe7-4bbf-affd-3ac0c341138c,Rock,Ground,,80,120,130,55,65,45,1.4,300,Graveler,,,,,,,,
